model,chainNum,speakerAlpha,listenerAlpha,costWeight,discountFactor,guessingEpsilon,              trialNum,speakerID,listenerID,partnerID,intendedName,speakerChoice,listenerChoice,              longUttScore,correctProb
,,5,5,0,0.5,0.01,1,1,5,1,A,word1,B,0,-0.9791623621809347
,,5,5,0,0.5,0.01,2,1,5,1,B,word2,B,0,-9.285586211157915e-7
,,5,5,0,0.5,0.01,3,1,5,1,A,word1,A,0,-3.25564129471433e-7
,,5,5,0,0.5,0.01,4,1,5,1,B,word2,B,0,-1.877395869581188e-7
,,5,5,0,0.5,0.01,5,2,5,2,A,word2,A,0,-0.2405477492954767
,,5,5,0,0.5,0.01,6,2,5,2,B,word1,B,0,-0.000010941394718743407
,,5,5,0,0.5,0.01,7,2,5,2,A,word2,A,0,-0.0000026765758938143676
,,5,5,0,0.5,0.01,8,2,5,2,B,word1,B,0,-0.0000016621989575874265
,,5,5,0,0.5,0.01,9,3,5,3,A,word1,B,0,-5.098285176438702
,,5,5,0,0.5,0.01,10,3,5,3,B,word2,B,0,-0.00002662420184405158
,,5,5,0,0.5,0.01,11,3,5,3,A,word1,A,0,-0.0000014032006055383512
,,5,5,0,0.5,0.01,12,3,5,3,B,word2,B,0,-3.104172500596665e-8
,,5,5,0,0.5,0.01,13,4,5,4,A,word2,A,0,-0.026139561144236503
,,5,5,0,0.5,0.01,14,4,5,4,B,word1,B,0,-4.472678756182682e-7
,,5,5,0,0.5,0.01,15,4,5,4,A,word2,A,0,-9.091047323933872e-7
,,5,5,0,0.5,0.01,16,4,5,4,B,word1,B,0,-2.2239199412464998e-7
